Column_Name,Data_Type,Missing_Values,Unique_Values
Row ID,int64,0,9994
Order ID,object,0,5009
Order Date,object,0,1237
Ship Date,object,0,1334
Ship Mode,object,0,4
Customer ID,object,0,793
Customer Name,object,0,793
Segment,object,0,3
Country,object,0,1
City,object,0,531
State,object,0,49
Postal Code,int64,0,631
Region,object,0,4
Product ID,object,0,1862
Category,object,0,3
Sub-Category,object,0,17
Product Name,object,0,1850
Sales,float64,0,5825
Quantity,int64,0,14
Discount,float64,0,12
Profit,float64,0,7287
